lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0057                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0057                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0048                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0048                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
28.425                                            ,77.003                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.29                                            ,1015                                              ,34                                                ,298.71                                            ,300.15                                            ,4000                                              ,4.1                                               ,290                                               ,0                                                 ,1552894200                                        ,1                                                 ,9165                                              ,0.0057                                            ,IN                                                ,1552870738                                        ,1552914093                                        ,1267034                                           ,Khāndsa                                           
28.410                                            ,76.998                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.29                                            ,1015                                              ,34                                                ,298.71                                            ,300.15                                            ,4000                                              ,4.1                                               ,290                                               ,0                                                 ,1552894200                                        ,1                                                 ,9165                                              ,0.0042                                            ,IN                                                ,1552870738                                        ,1552914093                                        ,1267034                                           ,Khāndsa                                           
28.395                                            ,76.994                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.52                                            ,1015                                              ,34                                                ,299.15                                            ,300.15                                            ,4000                                              ,4.1                                               ,290                                               ,0                                                 ,1552896907                                        ,1                                                 ,9165                                              ,0.0056                                            ,IN                                                ,1552870740                                        ,1552914096                                        ,1267034                                           ,Khāndsa                                           
28.379                                            ,76.989                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.51                                            ,1015                                              ,34                                                ,299.15                                            ,300.15                                            ,4000                                              ,3.1                                               ,260                                               ,0                                                 ,1552896907                                        ,1                                                 ,9165                                              ,0.0069                                            ,IN                                                ,1552870740                                        ,1552914096                                        ,1267034                                           ,Khāndsa                                           
28.369                                            ,76.984                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.51                                            ,1015                                              ,34                                                ,299.15                                            ,300.15                                            ,4000                                              ,3.1                                               ,260                                               ,0                                                 ,1552896907                                        ,1                                                 ,9165                                              ,0.01                                              ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
28.360                                            ,76.977                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,299.53                                            ,1015                                              ,34                                                ,299.15                                            ,300.15                                            ,4000                                              ,3.1                                               ,260                                               ,0                                                 ,1552898707                                        ,1                                                 ,9165                                              ,0.0051                                            ,IN                                                ,1552870743                                        ,1552914098                                        ,1267034                                           ,Khāndsa                                           
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0048                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0053                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0059                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0059                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,801                                               ,Clouds                                            ,few clouds                                        ,02d                                               ,300.15                                            ,1015                                              ,39                                                ,300.15                                            ,300.15                                            ,6000                                              ,2.1                                               ,260                                               ,20                                                ,1552894200                                        ,1                                                 ,9159                                              ,0.0047                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
